,Fiscal Year,Library,County,Principal Public?,AENGLC Rank,Population of Service Area,Total Library Visits,Library Visits Per Capita Served,Total Registered Borrowers,Percent of Residents with Library Cards,Reference Questions,Reference Questions Per Capita Served,Total Circulation,Circulation Per Capita Served,Total Programs (Synchronous + Prerecorded),Total Program Attendance & Views,Total Collection,Collection Per Capita Served,Total Operating Income,Wages & Salaries Expenditures,Population Bin
229,1997,Enfield,Hartford,P,133.0,45187.0,229214.0,5.1,20930.0,0.46,45334.0,1.0,274218.0,6.1,453.0,11546.0,129546.0,2.9,715950.0,533340.0,"(45051.8, 59858.4]"
230,1997,Essex,Middlesex,P,30.0,5835.0,37128.0,6.4,3900.0,0.67,5304.0,0.9,48230.0,8.3,19.0,967.0,25026.0,4.3,169510.0,94029.0,"(483.934, 15438.6]"
231,1997,Fairfield,Fairfield,P,29.0,53269.0,600486.0,11.3,45043.0,0.85,20040.20407729879,0.7465547060014956,788264.0,14.8,506.0,19960.0,263485.0,4.9,2755301.0,1507483.0,"(45051.8, 59858.4]"
232,1997,Fairfield - Pequot,Fairfield,N,29.0,21222.776174062903,90648.0,1.7,1501.0,0.03,4892.0,0.1,59352.0,1.1,247.0,7842.0,130290.0,2.4,610316.0,255992.0,"(15438.6, 30245.2]"
233,1997,Farmington,Hartford,P,22.0,21102.0,207094.0,9.8,12600.0,0.6,45833.0,2.2,342754.0,16.2,1008.0,20052.0,163548.0,7.8,1688070.0,903615.0,"(15438.6, 30245.2]"
234,1997,Glastonbury - Wells-T.,Hartford,P,40.0,28226.0,243748.0,8.6,13044.0,0.46,15215.0,0.5,357000.0,12.6,302.0,5740.0,110515.0,3.9,817326.0,520557.0,"(15438.6, 30245.2]"
235,1997,"Glastonbury, East",Hartford,N,40.0,21222.776174062903,11123.0,0.4,749.0,0.03,98.0,0.0,15744.0,0.6,237.0,3956.0,17061.0,0.6,21390.0,558367.0520278732,"(15438.6, 30245.2]"
236,1997,Goshen,Litchfield,P,31.0,2516.0,5600.0,2.2,1709.0,0.68,4324.0,1.7,33894.0,13.5,4.0,325.0,33535.0,13.3,47794.0,32049.0,"(483.934, 15438.6]"
237,1997,Granby,Hartford,P,70.0,9500.0,70148.0,7.4,6000.0,0.63,12986.0,1.4,130275.0,13.7,179.0,3967.0,63406.0,6.7,274861.0,217941.0,"(483.934, 15438.6]"
238,1997,Greenwich,Fairfield,P,4.0,57250.0,591236.0,10.3,55379.0,0.97,268220.0,4.7,1136254.0,19.8,412.53696576868543,75659.0,352409.0,6.2,4056110.0,2924669.0,"(45051.8, 59858.4]"
239,1997,Greenwich - Perrot,Fairfield,N,4.0,21222.776174062903,108243.81620957839,5.409180655736961,9394.4204,0.4818531889290012,5326.0,0.1,138376.0,2.4,412.53696576868543,9126.116605616606,55341.0,1.0,759073.0,537273.0,"(15438.6, 30245.2]"
240,1997,Griswold - Slater,New London,P,160.0,14123.0,17992.0,1.3,4107.0,0.29,2220.0,0.2,19738.0,1.4,10.0,878.0,17598.0,1.2,166484.0,30880.0,"(483.934, 15438.6]"
241,1997,Groton,New London,P,128.0,44084.0,310000.0,7.0,34072.0,0.77,63232.0,1.4,356318.0,8.1,297.0,8694.0,126452.0,2.9,1397239.0,1025901.0,"(30245.2, 45051.8]"
242,1997,Groton - Bill,New London,N,128.0,44084.0,3500.0,0.1,663.0,0.02,20040.20407729879,0.7465547060014956,16841.0,0.4,93.0,600.0,17650.0,0.4,112809.0,558367.0520278732,"(30245.2, 45051.8]"
243,1997,Groton - Mystic,New London,N,128.0,21222.776174062903,7200.0,0.2,5854.0,0.13,20040.20407729879,0.7465547060014956,103376.0,2.3,286.0,1938.0,43389.0,1.0,329902.0,157940.0,"(15438.6, 30245.2]"
